Won,Home,7pm,Yes,Center,Forward,Tall,
Won,Home,7pm,Yes,Forward,Center,Short, 
Won,Away,7pm,Yes,Forward,Forward,Tall,
Lost,Home,5pm,No,Forward,Center,Tall,
Lost,Away,9pm,Yes,Forward,Forward,Short, 
Won,Away,7pm,No,Center,Forward,Tall,
Lost,Home,7pm,No,Forward,Center,Tall,
Won,Home,7pm,Yes,Center,Center,Tall,
Won,Away,7pm,Yes,Center,Center,Short, 
Lost,Home,9pm,No,Forward,Center,Short, 
Lost,Away,7pm,No,Forward,Forward,Short, 
Won,Away,5pm,No,Center,Forward,Tall,
Lost,Home,7pm,No,Center,Center,Tall,
Lost,Home,9pm,No,Forward,Forward,Short, 
Lost,Away,9pm,Yes,Center,Forward,Short, 
Won,Home,7pm,Yes,Center,Center,Short, 
Won,Home,7pm,Yes,Center,Forward,Short, 
Lost,Home,5pm,No,Forward,Center,Short, 
Won,Home,7pm,Yes,Center,Forward,Tall,
Lost,Away,5pm,No,Center,Center,Tall,